Webpage,Similarity Score
Webpage 1,0.4610922419502999
Webpage 2,0.1061313620785613
Webpage 3,1.0000000000000002
Webpage 4,0.10201283788255436
Webpage 5,0.45067911048363096
Webpage 6,0.04508681001600379
Webpage 7,0.12000360244535199
Webpage 8,0.02126324404872644
Webpage 9,0.40977461030579676
